,Aguascalientes,Mexicali,La Paz,Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Toluca,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca,Puebla,Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala,Xalapa,Mérida,Zacatecas
Aguascalientes,0.0,1670.0,3067.0,2897.0,2724.0,1213.0,1098.88,103.0,1163.0,183.0,385.0,1549.94,1035.0,543.0,854.0,801.0,1391.46,1307.0,381.0,1853.0,1436.0,676.0,2589.0,56.0,2797.0,3648.0,2522.0,416.0,1423.0,1692.0,2897.0,41.0
Mexicali,1670.0,0.0,0.0,3047.42,2874.23,370.0,4382.88,1570.0,3530.0,370.0,2135.0,4870.97,4319.0,3031.0,4119.0,3682.0,4670.97,2341.0,403.42,4969.0,4662.0,3577.0,2724.42,1629.0,898.0,257.0,2672.42,749.42,4707.0,4961.0,3047.6,1567.0
La Paz,1717.0,0.0,0.0,5600.0,5427.0,582.0,3801.88,2671.0,2949.0,1534.0,3114.0,4289.97,3738.0,2450.0,3538.0,3101.0,4089.97,1760.0,2898.0,4388.0,4081.0,2996.0,5277.0,1676.0,317.0,581.0,5225.0,2011.0,4126.0,4380.0,5600.0,1614.0
Campeche,2912.0,2852.0,5600.0,0.0,577.0,3389.0,1735.0,2465.0,3770.0,2359.0,2460.0,2133.0,1803.0,3150.0,1918.0,2499.0,1782.0,3840.0,2138.0,1011.0,1433.0,2155.0,0.0,2217.0,5330.0,6181.0,301.0,2138.0,1591.0,1335.0,0.0,2217.0
Tuxtla Gutiérrez,2739.0,2863.0,5427.0,577.0,0.0,3216.0,1562.0,2292.0,3597.0,2186.0,2287.0,1960.0,1630.0,2977.0,1745.0,2326.0,1609.0,3667.0,1965.0,166.0,1260.0,1982.0,254.0,2044.0,5157.0,6008.0,202.0,1965.0,1418.0,1162.0,577.0,2044.0
Chihuahua,1213.0,422.0,26.0,3389.0,3216.0,0.0,1590.88,1113.0,2530.0,0.0,1678.0,2041.94,2328.0,1836.0,2147.0,2099.0,1883.46,1794.0,1340.0,2345.0,2729.0,1172.0,3066.0,1172.0,26.0,147.0,3815.0,1340.0,2716.0,2970.0,4190.0,1110.0
Ciudad de México,1133.0,4860.0,3836.0,1735.0,1562.0,1625.0,0.0,783.0,2006.0,595.0,684.0,349.0,69.0,1386.0,183.0,735.0,149.0,2076.0,977.0,691.0,274.0,391.0,1412.0,453.0,3566.0,4417.0,1360.0,942.0,276.0,924.0,1735.0,453.0
Saltillo,103.0,1570.0,2551.0,2441.0,2268.0,1113.0,748.88,0.0,1420.0,1137.0,499.0,1241.46,685.0,726.0,504.0,789.0,999.94,2931.0,143.0,1335.0,1086.0,330.0,2118.0,225.0,2281.0,962.0,2066.0,143.0,1073.0,1327.0,2441.0,0.0
Colima,1163.0,3530.0,2949.0,3770.0,3597.0,2530.0,1971.88,1420.0,0.0,2983.0,1210.0,2459.97,1908.0,409.0,1708.0,1271.0,2259.97,1189.0,1624.0,2558.0,2251.0,1166.0,3447.0,1264.0,2679.0,3530.0,3395.0,1624.0,2296.0,2550.0,3770.0,1284.0
Victoria de Durango,183.0,370.0,1334.0,2359.0,2186.0,0.0,560.88,1137.0,2983.0,0.0,648.0,1011.94,1298.0,806.0,316.0,1069.0,853.46,1794.0,1364.0,2116.0,840.0,142.0,2036.0,142.0,1264.0,2115.0,1984.0,477.0,885.0,1139.0,2359.0,80.0
