,Aguascalientes,Mexicali,La Paz,Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Toluca,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca,Puebla,Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala,Xalapa,Mérida,Zacatecas
Aguascalientes,0.0,2658.31,1676.24,2010.24,1631.38,1177.73,611.92,599.46,512.22,501.0,221.84,953.4,628.12,276.67,588.24,388.84,719.1,527.17,712.87,1172.75,761.48,357.68,2247.04,206.88,1124.14,1957.9,1535.41,621.89,735.3,929.72,2224.6,145.81
Mexicali,2663.29,0.0,1686.21,4900.36,4521.49,1478.08,3237.83,2386.62,2761.75,2255.76,2900.09,3548.15,3254.03,2561.1,3143.11,2915.04,3313.85,2305.61,2681.99,3849.75,3383.64,3011.0,5137.15,2750.53,1744.79,867.41,4425.53,3023.47,3359.96,3554.38,5112.23,2521.22
La Paz,1626.39,1686.21,0.0,3480.85,3100.74,1383.37,2081.28,1751.02,1606.45,1115.42,1743.54,2394.1,2098.73,1430.73,1987.81,1759.74,2158.55,1150.31,1876.89,2694.45,2228.34,1880.63,3716.4,1714.88,589.49,942.19,3004.77,2122.41,2205.91,2399.08,3695.21,1484.32
Campeche,2017.72,4906.59,3489.57,0.0,777.68,3182.99,1425.74,2336.77,2323.06,2506.26,1848.23,1623.9,1444.43,2090.01,1499.27,1790.9,1469.36,2340.51,2235.82,1227.58,1272.45,1673.75,482.31,1915.53,2938.72,3772.48,477.32,1901.82,1307.34,1183.96,214.36,2149.83
Tuxtla Gutiérrez,1640.1,4523.98,3111.95,777.68,0.0,2804.12,1044.38,1959.15,1945.44,2128.64,1470.61,1246.28,1066.81,1712.38,1120.4,1413.28,1091.74,1962.89,1858.2,671.74,893.58,1294.88,1014.47,1537.91,2561.1,3393.61,302.85,1524.2,929.72,806.34,993.28,1772.21
Chihuahua,1187.7,1684.97,1378.38,3194.21,2814.09,0.0,1794.64,912.27,1716.12,786.4,1425.74,2137.36,1833.27,1480.58,1792.15,1592.74,1901.82,1354.7,1014.47,2355.46,1965.38,1545.38,3429.75,1276.19,919.75,863.67,2739.32,1365.92,1939.21,2133.63,3429.75,1045.63
Ciudad de México,614.41,3250.29,2087.51,1414.52,1035.66,1779.68,0.0,1051.86,919.75,1102.95,444.92,342.73,114.66,687.94,81.01,388.84,108.43,938.45,1130.37,577.03,165.75,270.44,1651.32,512.22,1536.66,2369.17,939.69,844.98,149.55,371.39,1631.38,746.52
Saltillo,603.2,2382.88,1760.99,2338.01,1956.65,901.06,1046.87,0.0,1131.62,635.6,770.2,1388.35,1064.32,896.07,1024.44,949.66,1154.05,1202.66,112.16,1660.04,1196.43,797.62,2574.81,558.33,1208.89,1763.48,1860.69,459.88,1171.5,1364.67,2554.87,466.11
Colima,514.71,2767.98,1611.44,2315.58,1935.47,1712.38,917.26,1134.11,0.0,1030.67,582.01,1228.83,933.46,246.76,822.54,594.47,993.28,462.37,1247.52,1529.18,1063.07,690.44,2551.13,653.05,1059.34,1893.09,1839.5,1068.06,1040.64,1233.81,2531.19,680.47
Victoria de Durango,505.99,2255.76,1127.88,2511.25,2132.38,785.15,1112.93,639.34,1026.93,0.0,742.78,1454.4,1150.31,797.62,1090.49,911.03,1220.1,572.04,741.53,1693.69,1259.99,862.42,2748.04,593.23,563.32,1397.08,2036.42,1002.01,1236.31,1430.73,2725.61,363.91
Guanajuato,219.34,2898.84,1742.29,1840.75,1460.64,1417.02,441.18,767.71,579.52,740.29,0.0,782.66,458.63,342.73,418.75,219.34,548.36,593.23,846.22,1002.01,588.24,188.19,2076.3,228.07,1191.44,2023.95,1364.67,623.14,565.81,758.98,2055.11,385.1
Chilpancingo,950.91,3558.12,2395.34,1612.68,1233.81,2116.18,342.73,1388.35,1227.58,1439.45,781.42,0.0,469.85,995.78,403.79,696.67,229.31,1246.28,1465.62,775.18,350.2,605.69,1849.47,848.71,1844.49,2677.0,1137.85,1242.54,387.59,569.55,1827.04,1083.01
Pachuca,630.62,3265.24,2102.47,1433.22,1053.1,1794.64,117.15,1068.06,935.95,1119.16,461.12,464.86,0.0,700.41,201.9,403.79,228.07,954.65,1146.57,594.47,184.45,282.9,1668.76,525.93,1551.61,2384.13,957.14,766.46,158.28,351.45,1647.58,762.72
