,Aguascalientes,Mexicali,La Paz,Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Toluca,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca,Puebla,Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala,Xalapa,Mérida,Zacatecas
Aguascalientes,0.0,8818.935,8930.73375,8675.99,7264.76125,4446.98625,2826.425,1793.09125,2581.46375,1640.25,1053.70875,4165.8462500000005,2775.61375,1354.045,2539.115,1883.59,3413.685,2806.03875,2350.12,5107.0,3541.23625,1696.17375,8926.67125,716.01125,5918.015,9018.4,6744.9037499999995,2178.50875,3423.925,4243.595,9268.48125,502.42875
Mexicali,8827.04625,0.0,4651.84125,15950.89875,14561.35125,4294.955,13205.07875,7878.501249999999,10969.875,6435.141250000001,9900.715,14484.745,13129.27375,9998.35,12649.60375,11550.17125,13691.06375,8565.36,6972.9037499999995,15740.631249999999,13836.258749999999,11734.875,16208.45125,9023.286250000001,5639.6587500000005,2671.285,14041.693749999999,8229.14625,13776.335,14593.51125,16566.07375,8272.60125
La Paz,7477.765,4658.085,0.0,16599.6,15183.99,6171.6137499999995,10767.535,8647.013750000002,8552.33125,5896.30125,9141.915,12065.32,10711.73,7699.48625,10228.92875,9132.60875,11273.52,6144.6849999999995,9237.39,13319.95625,11418.715,9432.880000000001,16855.89375,7672.123750000001,3225.24625,4485.6900000000005,14689.145,9080.27875,11360.04125,12172.83625,17195.20375,6960.82
Campeche,8648.46375,15783.59,16611.45125,0.0,3064.0612499999997,12306.35875,5995.12125,9211.15125,10321.185,9493.37875,7773.848749999999,6844.40625,6066.17375,9105.64125,6442.26375,7686.78125,6145.103749999999,10486.76625,8623.826249999998,5219.83,5249.20625,7022.49375,1507.31625,7729.398749999999,13640.595,16697.23625,1868.9512499999998,7702.313749999999,5476.465,4868.953750000001,648.74125,8357.44875
Tuxtla Gutiérrez,7257.225,14502.605,15235.831250000001,3070.305,0.0,10913.869999999999,4615.76125,7794.9,8929.94625,8102.139999999999,6382.61,5450.036249999999,4687.44125,7733.123750000001,5049.775,6295.52375,4756.99625,9095.50875,7229.456249999999,2443.99625,3847.32375,5614.38625,3337.21375,6310.035,12236.85,15314.103750000002,1167.34375,6311.075,4094.6012500000006,3468.34,3676.5237500000003,6963.078750000001
Chihuahua,4481.95,4563.22,5673.1362500000005,12364.45375,10961.34,0.0,6529.276250000001,3575.27625,7183.626249999999,2192.65,5597.49,7863.674999999999,7336.26375,5910.32375,7098.525000000001,6419.865,7116.536249999999,5567.45,4057.58875,8834.835,8100.63625,5417.38,12620.756249999999,4682.57125,3139.5,3041.9137499999997,11326.195,5071.55125,7983.335,8797.380000000001,13835.375,3977.51125
Ciudad de México,2825.535,13716.54,10832.87875,5987.01375,4566.41,6510.936250000001,0.0,3669.22875,4519.5,3697.95625,1953.92,1341.73625,474.28499999999997,3305.19625,523.37875,1873.84,548.0550000000001,4701.95,4038.62,2427.3987500000003,846.00625,1192.6837500000001,6244.57625,1896.4762500000002,7821.41,10901.795,4071.5649999999996,3393.23625,775.5562500000001,2061.00875,6572.630000000001,2555.76375
Saltillo,1809.3187500000001,7909.130000000001,8590.12125,9204.01,7787.15,3560.935,3633.25,0.0,4498.48875,2828.84375,2644.1937500000004,5029.8099999999995,3589.95125,3222.0637500000003,3356.565,3394.9037499999995,4153.99625,6196.16,486.40375,6173.165,4351.17375,2486.995,9461.55375,1758.33,5577.383750000001,6212.9800000000005,7298.55875,1487.26125,4222.625,5026.045,9820.86375,1297.35375
Colima,2621.45375,11054.23625,8610.44,10385.57375,8944.970000000001,7201.748750000001,4548.515,4550.985,0.0,5910.55125,2842.01,5826.299999999999,4478.95375,1177.6287499999999,3989.9087499999996,2902.96375,5031.36875,2495.12,5034.01375,7077.805,5179.695,3084.565,10613.76125,3113.91875,5619.58375,8698.09625,8446.99375,4579.56625,5127.265,5943.19125,10985.55875,3183.2200000000003
Victoria de Durango,1654.6150000000002,6428.87875,5765.0112500000005,9532.75625,8121.498750000001,2153.9,3708.185,2829.47125,5859.936250000001,0.0,2756.39875,5028.8462500000005,4488.92875,3066.12,3415.87125,3589.39875,4295.4349999999995,3466.04625,3318.03625,6837.815,4353.12125,2560.67,9790.29,1850.855,2899.20125,5999.58625,7623.55125,3254.0162499999997,4293.17875,5107.22375,10128.36,1134.52875
Guanajuato,1035.59,9921.34625,9150.04,7785.11875,6372.64,5560.645,1941.05375,2552.34125,2808.26375,2750.7962500000003,0.0,3283.60625,1897.2487500000002,1582.73625,1658.125,1002.5899999999999,2493.05625,2963.86125,3029.8450000000003,4240.37875,2595.365,815.18375,8041.43125,782.70125,6138.57125,9237.70625,5887.67625,2195.88375,2542.935,3355.73,8380.741250000001,1622.35
