,Aguascalientes,Mexicali,La Paz,Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Toluca,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca,Puebla,Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala,Xalapa,Mérida,Zacatecas
Aguascalientes,0.0,23.95,22.3333,20.1,15.5167,10.9667,5.95,5.8167,4.8333,5.1,2.3833,8.8667,5.9333,2.85,5.85,3.7,6.95,5.1833,6.7,11.1,7.1667,3.5333,21.8167,2.4167,10.65,18.2,14.3333,6.0833,6.75,8.65,22.1167,1.6833
Mexicali,23.9667,0.0,15.8167,42.6833,38.2167,13.05,29.7833,20.9167,24.95,20.3167,25.95,32.35,29.6333,23.5,28.7333,26.4167,30.4333,20.9,20.7333,36.9167,30.8833,27.45,44.5167,24.7667,15.9833,8.25,37.0333,23.7667,30.45,32.4167,44.8333,22.3167
La Paz,22.05,15.85,0.0,40.1,35.5,22.4333,26.05,22.5333,21.3167,17.3167,22.85,28.7,26.0,20.3667,25.0833,22.7833,26.8,17.25,23.8,33.2667,27.25,24.3,41.9333,22.8333,12.3667,15.8,34.45,26.3833,26.8167,28.7667,42.1333,20.6
Campeche,19.8333,42.8,40.1167,0.0,9.1167,30.5833,15.1167,23.5167,22.55,24.6833,18.4833,16.4667,15.0333,20.6167,16.1333,18.1167,15.4333,22.9667,22.6667,15.9,13.5667,17.0333,5.4667,19.1833,28.65,35.9667,5.8167,19.5333,13.75,12.5333,2.3167,21.2833
Tuxtla Gutiérrez,15.35,37.95,35.7167,9.15,0.0,26.1,10.7167,18.9,18.0667,20.2,14.0,11.9667,10.6167,16.2333,11.65,13.6333,10.9667,18.4833,18.1667,8.5667,9.0333,12.4667,11.0333,14.55,24.1,31.5333,3.5333,15.05,9.3167,8.0,11.2333,16.7833
Chihuahua,11.1,13.1,22.7667,30.8333,26.3,0.0,16.7667,8.2667,15.6667,7.5,13.3,19.65,16.9333,13.8333,16.85,14.55,17.7667,12.9,9.0833,22.05,18.1667,14.4,32.6667,11.9167,11.7,10.8333,25.45,12.6167,17.75,19.7,33.15,9.7167
Ciudad de México,5.75,29.9,26.1833,15.1333,10.5,16.5667,0.0,9.7833,8.5,10.6667,4.4,3.4667,1.55,6.5667,1.3833,4.0,1.55,9.0,10.3,6.1833,2.1667,2.8333,16.9667,4.9667,14.5,21.95,9.45,8.5667,1.8667,4.0833,17.1,7.2333
Saltillo,5.8833,21.1,22.8167,23.6,19.0,8.25,9.8,0.0,10.3833,5.6333,7.3333,12.8,9.8167,8.5333,9.75,8.8333,10.6667,11.0,1.2333,16.95,11.0333,7.25,25.4333,5.2,11.1333,18.6,17.9833,4.7167,10.55,12.45,25.7333,4.4333
Colima,5.0333,25.3667,21.6,22.9333,18.2,15.7833,8.85,10.65,0.0,10.1167,5.6,11.4,8.7333,2.7833,7.7833,5.5333,9.4833,4.5,11.5333,15.95,9.95,6.55,24.6167,6.3833,10.0333,17.4667,17.1333,10.0667,9.55,11.5167,24.9833,6.5
Victoria de Durango,5.15,20.2833,17.6167,24.8667,20.2833,7.3,10.85,5.6167,9.8667,0.0,7.2833,13.6667,10.8833,7.8,10.7167,8.5833,11.85,5.8667,6.4667,16.15,12.0167,8.3,26.7,5.95,5.7167,13.2667,19.2167,9.4667,11.5833,13.5333,26.9,3.6833
Guanajuato,2.3,26.0667,22.9,18.5833,14.0,13.15,4.5333,7.4167,5.4333,7.2667,0.0,7.4667,4.4833,3.4667,4.45,2.3,5.5667,5.8167,7.95,9.7833,5.75,2.1333,20.4167,2.6167,11.2167,18.7667,13.0667,6.2333,5.35,7.3,20.6167,3.9
Chilpancingo,8.75,32.5667,28.75,16.4167,11.8167,19.4667,3.5,12.8,11.1833,13.65,7.3333,0.0,4.85,9.25,3.9667,6.7333,2.15,11.6,13.2167,7.5333,3.35,5.8333,18.25,7.9,17.0667,24.6,10.8333,11.6167,3.6667,5.45,18.5333,10.1333
Pachuca,5.7333,29.8167,25.9833,14.9667,10.4333,16.55,1.6167,9.65,8.4667,10.5667,4.4,4.8667,0.0,6.5667,2.55,3.9333,2.9833,9.0167,10.25,6.0833,2.1333,2.8333,16.8667,4.9833,14.3167,21.8833,9.3167,7.6333,1.6833,3.65,17.0,7.2333
Guadalajara,2.9,23.6333,19.95,20.8333,16.1333,13.8167,6.75,8.65,2.6,7.7833,3.55,9.3667,6.65,0.0,5.7167,3.4333,7.45,2.7667,9.5167,11.8833,7.8833,4.45,22.6667,4.3667,8.2667,15.7667,15.1833,7.9833,7.4667,9.4167,22.8667,4.4833
Toluca,5.65,29.0833,25.1,16.0,11.4167,16.4,1.3667,9.6833,7.5167,10.5667,4.2833,3.95,2.55,5.5833,0.0,3.0,2.0667,7.9333,10.2833,7.0833,3.0833,2.7333,17.8667,4.8667,13.4667,20.9667,10.3,8.5167,2.7833,4.9833,18.0333,7.1
Morelia,3.65,26.8833,22.9167,18.1333,13.5333,14.5,4.0833,8.9333,5.3833,8.65,2.2833,6.75,4.0167,3.4,3.0833,0.0,4.8333,5.7833,9.55,9.2333,5.2667,2.4167,19.9667,4.1667,11.2833,18.95,12.5,7.8167,4.8167,6.7833,20.25,5.2333
Cuernavaca,6.8667,30.6833,26.9333,15.4333,10.9167,17.7333,1.6167,10.7667,9.3833,11.7,5.5333,2.1667,3.0167,7.45,2.1333,4.8667,0.0,9.7833,11.35,6.5833,2.3833,3.95,17.2667,6.1167,15.2,22.9333,9.8,9.6,2.7,4.4833,17.5833,8.3667
Tepic,5.3,21.1667,17.35,23.0833,18.6167,12.7667,9.15,11.0667,4.3833,5.85,5.8667,11.7,9.0167,2.8833,8.1167,5.8167,9.8167,0.0,11.85,14.3,10.2333,6.8667,24.9167,6.7167,5.6667,13.2333,17.5833,10.3333,9.8167,11.7833,25.3167,6.7667
Monterrey,6.7,20.7667,23.3833,22.5167,17.9333,9.05,10.6167,1.3167,11.25,6.5,8.0833,13.4333,10.4667,9.3333,10.4,9.6,11.4667,11.9,0.0,15.65,11.6833,7.9667,24.4,5.9667,11.7667,19.4,16.8833,3.6167,11.2667,11.8167,24.5833,5.3
Oaxaca,10.7833,34.8833,31.0667,15.6167,8.5667,21.5333,6.0833,14.8833,13.5667,15.6333,9.4333,7.4167,5.9833,11.6333,7.0167,8.9833,6.3667,13.9333,15.2833,0.0,4.4333,7.8833,17.4167,10.0667,19.3833,26.9167,9.95,12.1667,4.7,5.5167,17.65,12.3
Puebla,6.95,31.0,27.1833,13.4667,8.85,17.65,2.2,10.95,9.7167,11.85,5.5833,3.3833,2.1333,7.75,3.15,5.1333,2.3167,10.05,11.5,6.55,0.0,4.0167,15.3,6.1833,15.6333,23.05,7.8,8.8667,0.8333,2.4167,15.5,8.3667
