origen,destino,tiempo_horas,casetas_mxn,combustible_mxn
Aguascalientes,Mexicali,23.95,1670.0,2658.31
Aguascalientes,La Paz,22.3333,3067.0,1676.24
Aguascalientes,Campeche,20.1,2897.0,2010.24
Aguascalientes,Tuxtla Gutiérrez,15.5167,2724.0,1631.38
Aguascalientes,Chihuahua,10.9667,1213.0,1177.73
Aguascalientes,Ciudad de México,5.95,1098.88,611.92
Aguascalientes,Saltillo,5.8167,103.0,599.46
Aguascalientes,Colima,4.8333,1163.0,512.22
Aguascalientes,Victoria de Durango,5.1,183.0,501.0
Aguascalientes,Guanajuato,2.3833,385.0,221.84
Aguascalientes,Chilpancingo,8.8667,1549.94,953.4
Aguascalientes,Pachuca,5.9333,1035.0,628.12
Aguascalientes,Guadalajara,2.85,543.0,276.67
Aguascalientes,Toluca,5.85,854.0,588.24
Aguascalientes,Morelia,3.7,801.0,388.84
Aguascalientes,Cuernavaca,6.95,1391.46,719.1
Aguascalientes,Tepic,5.1833,1307.0,527.17
Aguascalientes,Monterrey,6.7,381.0,712.87
Aguascalientes,Oaxaca,11.1,1853.0,1172.75
Aguascalientes,Puebla,7.1667,1436.0,761.48
Aguascalientes,Querétaro,3.5333,676.0,357.68
Aguascalientes,Chetumal,21.8167,2589.0,2247.04
Aguascalientes,San Luis Potosí,2.4167,56.0,206.88
Aguascalientes,Culiacán,10.65,2797.0,1124.14
Aguascalientes,Hermosillo,18.2,3648.0,1957.9
Aguascalientes,Villahermosa,14.3333,2522.0,1535.41
Aguascalientes,Ciudad Victoria,6.0833,416.0,621.89
Aguascalientes,Tlaxcala,6.75,1423.0,735.3
Aguascalientes,Xalapa,8.65,1692.0,929.72
Aguascalientes,Mérida,22.1167,2897.0,2224.6
Aguascalientes,Zacatecas,1.6833,41.0,145.81
Mexicali,Aguascalientes,23.9667,1670.0,2663.29
Mexicali,La Paz,15.8167,0.0,1686.21
Mexicali,Campeche,42.6833,3047.42,4900.36
Mexicali,Tuxtla Gutiérrez,38.2167,2874.23,4521.49
Mexicali,Chihuahua,13.05,370.0,1478.08
Mexicali,Ciudad de México,29.7833,4382.88,3237.83
Mexicali,Saltillo,20.9167,1570.0,2386.62
Mexicali,Colima,24.95,3530.0,2761.75
Mexicali,Victoria de Durango,20.3167,370.0,2255.76
Mexicali,Guanajuato,25.95,2135.0,2900.09
Mexicali,Chilpancingo,32.35,4870.97,3548.15
Mexicali,Pachuca,29.6333,4319.0,3254.03
Mexicali,Guadalajara,23.5,3031.0,2561.1
Mexicali,Toluca,28.7333,4119.0,3143.11
Mexicali,Morelia,26.4167,3682.0,2915.04
Mexicali,Cuernavaca,30.4333,4670.97,3313.85
Mexicali,Tepic,20.9,2341.0,2305.61
Mexicali,Monterrey,20.7333,403.42,2681.99
Mexicali,Oaxaca,36.9167,4969.0,3849.75
Mexicali,Puebla,30.8833,4662.0,3383.64
Mexicali,Querétaro,27.45,3577.0,3011.0
Mexicali,Chetumal,44.5167,2724.42,5137.15
Mexicali,San Luis Potosí,24.7667,1629.0,2750.53
Mexicali,Culiacán,15.9833,898.0,1744.79
Mexicali,Hermosillo,8.25,257.0,867.41
Mexicali,Villahermosa,37.0333,2672.42,4425.53
Mexicali,Ciudad Victoria,23.7667,749.42,3023.47
Mexicali,Tlaxcala,30.45,4707.0,3359.96
Mexicali,Xalapa,32.4167,4961.0,3554.38
Mexicali,Mérida,44.8333,3047.6,5112.23
Mexicali,Zacatecas,22.3167,1567.0,2521.22
La Paz,Aguascalientes,22.05,1717.0,1626.39
La Paz,Mexicali,15.85,0.0,1686.21
La Paz,Campeche,40.1,5600.0,3480.85
La Paz,Tuxtla Gutiérrez,35.5,5427.0,3100.74
La Paz,Chihuahua,22.4333,582.0,1383.37
La Paz,Ciudad de México,26.05,3801.88,2081.28
La Paz,Saltillo,22.5333,2671.0,1751.02
La Paz,Colima,21.3167,2949.0,1606.45
La Paz,Victoria de Durango,17.3167,1534.0,1115.42
La Paz,Guanajuato,22.85,3114.0,1743.54
La Paz,Chilpancingo,28.7,4289.97,2394.1
La Paz,Pachuca,26.0,3738.0,2098.73
La Paz,Guadalajara,20.3667,2450.0,1430.73
La Paz,Toluca,25.0833,3538.0,1987.81
La Paz,Morelia,22.7833,3101.0,1759.74
La Paz,Cuernavaca,26.8,4089.97,2158.55
La Paz,Tepic,17.25,1760.0,1150.31
La Paz,Monterrey,23.8,2898.0,1876.89
La Paz,Oaxaca,33.2667,4388.0,2694.45
La Paz,Puebla,27.25,4081.0,2228.34
La Paz,Querétaro,24.3,2996.0,1880.63
La Paz,Chetumal,41.9333,5277.0,3716.4
La Paz,San Luis Potosí,22.8333,1676.0,1714.88
La Paz,Culiacán,12.3667,317.0,589.49
La Paz,Hermosillo,15.8,581.0,942.19
La Paz,Villahermosa,34.45,5225.0,3004.77
La Paz,Ciudad Victoria,26.3833,2011.0,2122.41
La Paz,Tlaxcala,26.8167,4126.0,2205.91
La Paz,Xalapa,28.7667,4380.0,2399.08
La Paz,Mérida,42.1333,5600.0,3695.21
La Paz,Zacatecas,20.6,1614.0,1484.32
Campeche,Aguascalientes,19.8333,2912.0,2017.72
Campeche,Mexicali,42.8,2852.0,4906.59
Campeche,La Paz,40.1167,5600.0,3489.57
Campeche,Tuxtla Gutiérrez,9.1167,577.0,777.68
Campeche,Chihuahua,30.5833,3389.0,3182.99
Campeche,Ciudad de México,15.1167,1735.0,1425.74
Campeche,Saltillo,23.5167,2465.0,2336.77
Campeche,Colima,22.55,3770.0,2323.06
Campeche,Victoria de Durango,24.6833,2359.0,2506.26
Campeche,Guanajuato,18.4833,2460.0,1848.23
Campeche,Chilpancingo,16.4667,2133.0,1623.9
Campeche,Pachuca,15.0333,1803.0,1444.43
Campeche,Guadalajara,20.6167,3150.0,2090.01
Campeche,Toluca,16.1333,1918.0,1499.27
Campeche,Morelia,18.1167,2499.0,1790.9
Campeche,Cuernavaca,15.4333,1782.0,1469.36
Campeche,Tepic,22.9667,3840.0,2340.51
Campeche,Monterrey,22.6667,2138.0,2235.82
Campeche,Oaxaca,15.9,1011.0,1227.58
Campeche,Puebla,13.5667,1433.0,1272.45
Campeche,Querétaro,17.0333,2155.0,1673.75
Campeche,Chetumal,5.4667,0.0,482.31
Campeche,San Luis Potosí,19.1833,2217.0,1915.53
Campeche,Culiacán,28.65,5330.0,2938.72
Campeche,Hermosillo,35.9667,6181.0,3772.48
Campeche,Villahermosa,5.8167,301.0,477.32
Campeche,Ciudad Victoria,19.5333,2138.0,1901.82
Campeche,Tlaxcala,13.75,1591.0,1307.34
Campeche,Xalapa,12.5333,1335.0,1183.96
Campeche,Mérida,2.3167,0.0,214.36
Campeche,Zacatecas,21.2833,2217.0,2149.83
Tuxtla Gutiérrez,Aguascalientes,15.35,2739.0,1640.1
Tuxtla Gutiérrez,Mexicali,37.95,2863.0,4523.98
Tuxtla Gutiérrez,La Paz,35.7167,5427.0,3111.95
Tuxtla Gutiérrez,Campeche,9.15,577.0,777.68
Tuxtla Gutiérrez,Chihuahua,26.1,3216.0,2804.12
Tuxtla Gutiérrez,Ciudad de México,10.7167,1562.0,1044.38
Tuxtla Gutiérrez,Saltillo,18.9,2292.0,1959.15
Tuxtla Gutiérrez,Colima,18.0667,3597.0,1945.44
Tuxtla Gutiérrez,Victoria de Durango,20.2,2186.0,2128.64
Tuxtla Gutiérrez,Guanajuato,14.0,2287.0,1470.61
Tuxtla Gutiérrez,Chilpancingo,11.9667,1960.0,1246.28
Tuxtla Gutiérrez,Pachuca,10.6167,1630.0,1066.81
Tuxtla Gutiérrez,Guadalajara,16.2333,2977.0,1712.38
Tuxtla Gutiérrez,Toluca,11.65,1745.0,1120.4
Tuxtla Gutiérrez,Morelia,13.6333,2326.0,1413.28
Tuxtla Gutiérrez,Cuernavaca,10.9667,1609.0,1091.74
Tuxtla Gutiérrez,Tepic,18.4833,3667.0,1962.89
Tuxtla Gutiérrez,Monterrey,18.1667,1965.0,1858.2
Tuxtla Gutiérrez,Oaxaca,8.5667,166.0,671.74
Tuxtla Gutiérrez,Puebla,9.0333,1260.0,893.58
Tuxtla Gutiérrez,Querétaro,12.4667,1982.0,1294.88
Tuxtla Gutiérrez,Chetumal,11.0333,254.0,1014.47
Tuxtla Gutiérrez,San Luis Potosí,14.55,2044.0,1537.91
Tuxtla Gutiérrez,Culiacán,24.1,5157.0,2561.1
Tuxtla Gutiérrez,Hermosillo,31.5333,6008.0,3393.61
Tuxtla Gutiérrez,Villahermosa,3.5333,202.0,302.85
Tuxtla Gutiérrez,Ciudad Victoria,15.05,1965.0,1524.2
Tuxtla Gutiérrez,Tlaxcala,9.3167,1418.0,929.72
Tuxtla Gutiérrez,Xalapa,8.0,1162.0,806.34
Tuxtla Gutiérrez,Mérida,11.2333,577.0,993.28
Tuxtla Gutiérrez,Zacatecas,16.7833,2044.0,1772.21
Chihuahua,Aguascalientes,11.1,1213.0,1187.7
Chihuahua,Mexicali,13.1,422.0,1684.97
Chihuahua,La Paz,22.7667,26.0,1378.38
Chihuahua,Campeche,30.8333,3389.0,3194.21
Chihuahua,Tuxtla Gutiérrez,26.3,3216.0,2814.09
Chihuahua,Ciudad de México,16.7667,1590.88,1794.64
Chihuahua,Saltillo,8.2667,1113.0,912.27
Chihuahua,Colima,15.6667,2530.0,1716.12
Chihuahua,Victoria de Durango,7.5,0.0,786.4
Chihuahua,Guanajuato,13.3,1678.0,1425.74
Chihuahua,Chilpancingo,19.65,2041.94,2137.36
Chihuahua,Pachuca,16.9333,2328.0,1833.27
Chihuahua,Guadalajara,13.8333,1836.0,1480.58
Chihuahua,Toluca,16.85,2147.0,1792.15
Chihuahua,Morelia,14.55,2099.0,1592.74
Chihuahua,Cuernavaca,17.7667,1883.46,1901.82
Chihuahua,Tepic,12.9,1794.0,1354.7
Chihuahua,Monterrey,9.0833,1340.0,1014.47
Chihuahua,Oaxaca,22.05,2345.0,2355.46
Chihuahua,Puebla,18.1667,2729.0,1965.38
Chihuahua,Querétaro,14.4,1172.0,1545.38
Chihuahua,Chetumal,32.6667,3066.0,3429.75
Chihuahua,San Luis Potosí,11.9167,1172.0,1276.19
Chihuahua,Culiacán,11.7,26.0,919.75
Chihuahua,Hermosillo,10.8333,147.0,863.67
Chihuahua,Villahermosa,25.45,3815.0,2739.32
Chihuahua,Ciudad Victoria,12.6167,1340.0,1365.92
Chihuahua,Tlaxcala,17.75,2716.0,1939.21
Chihuahua,Xalapa,19.7,2970.0,2133.63
Chihuahua,Mérida,33.15,4190.0,3429.75
Chihuahua,Zacatecas,9.7167,1110.0,1045.63
Ciudad de México,Aguascalientes,5.75,1133.0,614.41
Ciudad de México,Mexicali,29.9,4860.0,3250.29
Ciudad de México,La Paz,26.1833,3836.0,2087.51
Ciudad de México,Campeche,15.1333,1735.0,1414.52
Ciudad de México,Tuxtla Gutiérrez,10.5,1562.0,1035.66
